Mississippi,DeSoto,63,0,184945
Ohio,Hamilton,63,0,817473
Virginia,Arlington,63,0,236842
Washington,Yakima,61,2,250873
California,Ventura,61,1,846006
Maryland,Howard,62,0,325690
Nebraska,Douglas,60,1,571327
Wisconsin,Waukesha,61,0,404198
California,San Bernardino,55,3,2180085
Iowa,Johnson,58,0,151140
Tennessee,Sumner,58,0,191283
Virginia,James City,55,3,76523
Florida,Alachua,57,0,269043
Pennsylvania,Luzerne,55,2,317417
Ohio,Lorain,56,0,309833
Georgia,Carroll,55,0,119992
California,San Luis Obispo,54,0,283111
Guam,,53,1,
Idaho,Ada,54,0,481587
Florida,Osceola,53,0,375751
Indiana,Hamilton,53,0,338011
Connecticut,Litchfield,52,0,180333
New Jersey,Hunterdon,52,0,124371
South Carolina,Greenville,51,1,523542
Utah,Davis,50,1,355481
Arkansas,Cleburne,49,1,24919
California,Sonoma,49,1,494336
Mississippi,Hinds,50,0,231840
Ohio,Lucas,48,2,428348
Oklahoma,Tulsa,49,1,651552
Arizona,Navajo,49,0,110924
Florida,Seminole,49,0,471826
Texas,Galveston,49,0,342139
Alabama,Lee,48,0,164542
Alabama,Madison,47,1,372909
Georgia,Cherokee,46,1,258773
Georgia,Clayton,46,1,292256
Indiana,Lake,47,0,485493
Illinois,McHenry,45,1,307774
Kansas,Wyandotte,43,3,165429
Michigan,Kent,45,1,656955
Texas,Montgomery,46,0,607391
Indiana,Johnson,42,3,158167
Missouri,Greene,41,4,293086
Louisiana,Lafayette,44,0,244390
Louisiana,St. John the Baptist,41,3,42837
Virginia,Prince William,44,0,470335
Arizona,Coconino,41,2,143476
Louisiana,St. James,40,3,21096
Virginia,Loudoun,43,0,413538
Florida,Sarasota,40,2,433742
Missouri,Jackson,41,1,703011
Oklahoma,Cleveland,39,3,284014
Rhode Island,Providence,42,0,638931
Georgia,Henry,40,1,234561
New Jersey,Gloucester,40,1,291636
California,Solano,39,0,447643
Florida,Volusia,39,0,553284
Montana,Gallatin,39,0,114434
New Jersey,Warren,38,1,105267
Tennessee,Rutherford,39,0,332285
Texas,Brazoria,39,0,374264
Delaware,Sussex,37,1,234225
Kentucky,Fayette,37,1,323152
Missouri,Boone,37,1,180463
Florida,St. Johns,36,1,264672
Louisiana,Bossier,37,0,127039
Pennsylvania,Lackawanna,35,2,209674
Arizona,Pinal,36,0,462789
Connecticut,Tolland,33,3,150721
Georgia,Lee,35,1,29992
New Hampshire,Hillsborough,35,1,417025
Ohio,Miami,32,4,106987
Minnesota,Ramsey,34,1,550321
Mississippi,Harrison,34,1,208080
New York,Rensselaer,35,0,158714
South Carolina,Beaufort,35,0,192122
Georgia,Clarke,32,2,128331
Minnesota,Olmsted,34,0,158293
Texas,Williamson,34,0,590551
Alaska,Anchorage,33,0,288000
California,Kern,33,0,900202
Maine,York,33,0,207641
Missouri,St. Charles,32,1,402022
Oregon,Clackamas,31,2,418187
Pennsylvania,Lancaster,33,0,545724
Washington,Kitsap,33,0,271473
Wisconsin,Ozaukee,30,3,89221
California,Santa Barbara,32,0,446499
California,Santa Cruz,32,0,273213
Louisiana,Lafourche,30,2,97614
Louisiana,St. Bernard,31,1,47244
Michigan,Livingston,31,1,191995
Ohio,Medina,32,0,179746
Washington,Grant,32,0,97733
California,Placer,30,1,398329
North Carolina,Guilford,31,0,537174
Tennessee,Knox,31,0,470313
Virginia,Henrico,28,3,330818
Indiana,Hendricks,28,2,170311
Mississippi,Rankin,29,1,155271
Pennsylvania,Westmoreland,30,0,348899
Tennessee,Hamilton,30,0,367804
Florida,Lake,29,0,367118
Florida,Manatee,28,1,403253
Florida,Sumter,29,0,132420
New Mexico,Santa Fe,29,0,150358
Oregon,Linn,28,1,129749
Pennsylvania,York,29,0,449058
Utah,Wasatch,29,0,34091
Virginia,Virginia Beach city,29,0,449974
Georgia,Douglas,27,1,146343
Indiana,St. Joseph,27,1,271826
Iowa,Polk,28,0,490161
Michigan,Monroe,28,0,150500
Minnesota,Dakota,28,0,429021
Texas,Brazos,28,0,229211
Texas,McLennan,28,0,256623
Arkansas,Faulkner,27,0,126007
California,Fresno,27,0,999101
Louisiana,Rapides,26,1,129648
Michigan,Ingham,26,1,292406
North Carolina,Union,27,0,239859
Ohio,Lake,27,0,230149
Pennsylvania,Butler,26,1,187853
Utah,Utah,27,0,636235
Washington,Thurston,27,0,290536
Wisconsin,Washington,27,0,136034
Connecticut,Middlesex,25,1,162436
Florida,Clay,22,4,219252
